586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,88,4,4,4,4,4,4,4,4,586
586,4,4,4,4,588,4,4,4,4,4,4,4,588,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,588,4,4,4,4,4,25,4,4,4,4,4,588,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,588,4,4,4,4,4,4,4,588,4,4,4,4,586
586,4,4,4,4,4,4,4,4,288,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,586
586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586,586
