-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,-1,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1,-1,-1,37,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34,34,34,34,34,34,34,34,34,34,34,34,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35,35,-1,35,35,35,-1,34,34,34,34,34,34,34,34,34,34,34,34,34,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,33,33,35,35,35,35,33,35,35,35,35,34,5,5,5,5,5,34,34,34,34,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,35,35,34,33,33,34,34,34,34,37,37,37,34,5,5,5,5,5,34,34,34,34,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,33,33,34,34,0,0,5,5,5,5,5,5,5,5,5,283,5,200,5,34,34,34,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,33,33,34,288,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,34,34,34,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,35,-1,-1,33,34,34,4,4,4,5,5,35,35,37,5,5,37,5,5,5,5,34,34,34,34,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,34,34,34,35,4,4,35,68,32,35,37,37,37,37,34,5,5,34,34,34,34,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,34,34,35,32,4,4,0,0,93,37,37,35,37,37,34,34,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,35,32,32,0,4,4,0,0,0,0,32,68,35,34,34,34,34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
